Summary (d_model, nhead, num_layers, dim_f -> best_epoch, best_val, test_mse, test_mae)
d_model= 32, nhead= 2, layers= 2, dim_f= 128 -> best_epoch=134, best_val=0.001589, test_mse=0.001556, test_mae=0.027393
d_model= 32, nhead= 2, layers= 2, dim_f= 256 -> best_epoch= 87, best_val=0.002668, test_mse=0.002642, test_mae=0.041478
d_model= 32, nhead= 2, layers= 2, dim_f= 512 -> best_epoch=124, best_val=0.001311, test_mse=0.001298, test_mae=0.030903
d_model= 32, nhead= 2, layers= 3, dim_f=  64 -> best_epoch=105, best_val=0.000879, test_mse=0.001053, test_mae=0.023088
d_model= 32, nhead= 2, layers= 3, dim_f= 128 -> best_epoch=127, best_val=0.001173, test_mse=0.001219, test_mae=0.027265
d_model= 32, nhead= 2, layers= 3, dim_f= 256 -> best_epoch=112, best_val=0.001939, test_mse=0.002122, test_mae=0.035013
d_model= 32, nhead= 2, layers= 3, dim_f= 512 -> best_epoch=113, best_val=0.002224, test_mse=0.001951, test_mae=0.034058
d_model= 32, nhead= 2, layers= 4, dim_f=  64 -> best_epoch=106, best_val=0.002181, test_mse=0.001857, test_mae=0.033184
d_model= 32, nhead= 2, layers= 4, dim_f= 128 -> best_epoch= 41, best_val=2.670106, test_mse=2.631535, test_mae=1.137887
d_model= 32, nhead= 2, layers= 4, dim_f= 256 -> best_epoch= 30, best_val=0.865590, test_mse=0.852482, test_mae=0.746135
d_model= 32, nhead= 2, layers= 4, dim_f= 512 -> best_epoch= 92, best_val=0.940664, test_mse=0.886927, test_mae=0.797997
d_model= 32, nhead= 4, layers= 1, dim_f=  64 -> best_epoch=117, best_val=0.001148, test_mse=0.000975, test_mae=0.025126
d_model= 32, nhead= 4, layers= 1, dim_f= 128 -> best_epoch= 71, best_val=0.002834, test_mse=0.002806, test_mae=0.042868
d_model= 32, nhead= 4, layers= 1, dim_f= 256 -> best_epoch= 63, best_val=0.001545, test_mse=0.001622, test_mae=0.031886
d_model= 32, nhead= 4, layers= 1, dim_f= 512 -> best_epoch=126, best_val=0.001101, test_mse=0.001068, test_mae=0.026721
d_model= 32, nhead= 4, layers= 2, dim_f=  64 -> best_epoch= 89, best_val=0.001271, test_mse=0.001201, test_mae=0.024566
d_model= 32, nhead= 4, layers= 2, dim_f= 128 -> best_epoch=121, best_val=0.001389, test_mse=0.001263, test_mae=0.028511
d_model= 32, nhead= 4, layers= 2, dim_f= 256 -> best_epoch=101, best_val=0.001205, test_mse=0.001177, test_mae=0.027690
d_model= 32, nhead= 4, layers= 2, dim_f= 512 -> best_epoch=110, best_val=0.000813, test_mse=0.000693, test_mae=0.020637
d_model= 32, nhead= 4, layers= 3, dim_f=  64 -> best_epoch=109, best_val=0.001078, test_mse=0.001176, test_mae=0.028741
d_model= 32, nhead= 4, layers= 3, dim_f= 128 -> best_epoch= 89, best_val=0.001391, test_mse=0.001244, test_mae=0.027329
d_model= 32, nhead= 4, layers= 3, dim_f= 256 -> best_epoch=102, best_val=0.000980, test_mse=0.000994, test_mae=0.025863
d_model= 32, nhead= 4, layers= 3, dim_f= 512 -> best_epoch=118, best_val=0.002105, test_mse=0.001983, test_mae=0.034607
d_model= 32, nhead= 4, layers= 4, dim_f=  64 -> best_epoch=101, best_val=0.001420, test_mse=0.001491, test_mae=0.032970
d_model= 32, nhead= 4, layers= 4, dim_f= 128 -> best_epoch=104, best_val=0.000860, test_mse=0.000762, test_mae=0.021387
d_model= 32, nhead= 4, layers= 4, dim_f= 256 -> best_epoch=137, best_val=0.001287, test_mse=0.001131, test_mae=0.026188
d_model= 32, nhead= 4, layers= 4, dim_f= 512 -> best_epoch= 42, best_val=7.121169, test_mse=6.934282, test_mae=2.238034
d_model= 32, nhead= 8, layers= 1, dim_f=  64 -> best_epoch= 89, best_val=0.001067, test_mse=0.000943, test_mae=0.020534
d_model= 32, nhead= 8, layers= 1, dim_f= 128 -> best_epoch= 91, best_val=0.001900, test_mse=0.001905, test_mae=0.036735
d_model= 32, nhead= 8, layers= 1, dim_f= 256 -> best_epoch= 80, best_val=0.001465, test_mse=0.001474, test_mae=0.029191
d_model= 32, nhead= 8, layers= 1, dim_f= 512 -> best_epoch=120, best_val=0.001069, test_mse=0.001083, test_mae=0.026149
d_model= 32, nhead= 8, layers= 2, dim_f=  64 -> best_epoch=100, best_val=0.000904, test_mse=0.000852, test_mae=0.021552
d_model= 32, nhead= 8, layers= 2, dim_f= 128 -> best_epoch= 91, best_val=0.001145, test_mse=0.000969, test_mae=0.021342
d_model= 32, nhead= 8, layers= 2, dim_f= 256 -> best_epoch= 95, best_val=0.001325, test_mse=0.001147, test_mae=0.026008
d_model= 32, nhead= 8, layers= 2, dim_f= 512 -> best_epoch= 86, best_val=0.000990, test_mse=0.000811, test_mae=0.020701
d_model= 32, nhead= 8, layers= 3, dim_f=  64 -> best_epoch=127, best_val=0.001677, test_mse=0.001438, test_mae=0.029695
d_model= 32, nhead= 8, layers= 3, dim_f= 128 -> best_epoch= 91, best_val=0.000926, test_mse=0.001036, test_mae=0.026163
d_model= 32, nhead= 8, layers= 3, dim_f= 256 -> best_epoch=108, best_val=0.001107, test_mse=0.000973, test_mae=0.023730
d_model= 32, nhead= 8, layers= 3, dim_f= 512 -> best_epoch= 82, best_val=0.173398, test_mse=0.220457, test_mae=0.369206
d_model= 32, nhead= 8, layers= 4, dim_f=  64 -> best_epoch=127, best_val=0.001736, test_mse=0.001585, test_mae=0.030212
d_model= 32, nhead= 8, layers= 4, dim_f= 128 -> best_epoch= 24, best_val=4.241018, test_mse=4.029652, test_mae=1.554355
